id,bin,last_4,country_code,currency,names,emails,ip_addresses,order_ids,shopper_ids,merchant_ids,total_txn,total_sales,total_sale_amount,total_refunds,total_refund_amount,total_chargebacks,total_chargeback_amount,layer1_status,layer2_status,recent_txn_count,last_updated,fraud_score
11,432730,2389,GB,USD,['Paul White'],['brandttravis@gmail.com'],"['217.238.143.15', '192.9.69.181']","['595071', '515592', '789312', '895980', '391316', '755387', '205010', '914218', '778501', '439130']",['44842'],['56539'],10,1,312,0,0,0,0,a,a,3,2024-01-14 15:06:54,0.13
12,403114,8328,DE,USD,"['Krista Lee', 'Lisa Sanchez']",['michaelanderson@gmail.com'],['150.149.179.22'],"['582214', '670621', '562782', '909049', '778056', '459473', '805014', '240217', '575789', '464826', '192446', '137700', '585827', '221168', '429545', '790293', '677305', '645902', '494244', '781067', '616683', '132085', '504878', '283961', '657040', '156121', '292450', '814954', '935362', '876541', '574390', '985780', '412229', '952859', '158895', '367235', '334472', '979832', '383872', '430445', '576970', '782402', '602040', '380353', '703557', '452244', '320762', '338316', '579016', '703645', '529245', '989140', '955021', '659019', '366520', '868567', '889664', '647171', '709403', '203371', '751533', '371195', '674090', '602833', '318159', '412333', '752502', '374794', '381598', '408340', '114112', '213910', '534846', '908205', '224886', '856993', '180826', '696133', '623509', '825365', '163002', '210287', '391796', '930806', '102878', '913058', '679051', '671628', '784946', '838994']",['44384'],['50383'],90,52,17628,2,514,1,243,a,a,5,2025-02-08 23:04:12,0.02
13,456491,3271,US,GBP,['Thomas Atkins'],['harrismichele@wyatt.com'],"['64.203.195.98', '62.46.239.26', '30.65.242.197']",['842712'],['93534'],"['31150', '83994']",1,1,215,1,107,1,149,d,,8,2024-01-07 12:51:18,0.88
14,431144,8732,DE,EUR,['Shari Henderson'],"['laurenadams@hotmail.com', 'ronald45@luna.org']","['176.203.138.44', '74.201.117.168']","['127629', '379979', '279218', '671252', '847182', '707990', '995321', '629073', '946532', '161480', '918427', '540477', '619456', '151932', '970752', '731150', '868435', '437284', '641601', '705500', '910089', '231197', '764287', '846975', '939951', '208419', '399981', '580166', '542114', '173175', '502888', '440481', '132344', '148292', '128979', '188296', '707340', '693230', '737680', '101203', '521546', '876244', '919704', '984647', '539379', '165514', '419136', '607222', '681983', '175678', '844838', '548651', '593579', '402594', '567672', '656347', '216947', '300303', '389320', '312870', '408435', '531392', '819912', '721992', '629789', '396914', '496206', '147888', '277188', '349902', '598834', '835394', '628236', '156014', '175191', '810140', '462108', '961717', '961205', '969489', '679681', '831168', '972433', '562537', '577402', '305750', '223723', '364961', '289629', '894126', '510922']",['35256'],['12670'],91,27,11340,2,962,0,0,a,a,5,2024-09-01 16:00:43,0.02
15,465844,2380,FR,USD,"['Jim Edwards', 'Angela Davis']",['jeremyduarte@gmail.com'],"['53.197.180.243', '109.171.250.183', '214.57.162.244']","['828602', '527911', '811424', '248875', '770789', '860550', '169721', '994216', '603843', '278568', '545518', '574273', '350082', '705150', '458667', '776349', '981989', '571290', '129800', '241484', '213830', '382226', '991213', '623363', '822736', '798426', '962153', '364429', '707426', '830126', '787341', '904964', '314610', '156128', '895869', '810059', '597277', '339857', '894784', '578407', '498827', '873651', '330875', '924353', '256981', '353592', '221227', '714632', '797546', '985485', '162770', '656219', '383015', '651957', '117264', '421390', '452508', '944314', '396986', '435069', '513413', '833475', '687507', '326823', '574431', '325486', '472579', '152074', '917690', '545492', '595728', '665743', '398844', '361580', '733285']",['84121'],"['36804', '33242', '92615', '51768', '47860']",75,32,15040,32,13216,1,473,r,d,2,2023-11-21 04:40:43,0.62
16,490486,1793,US,GBP,['Matthew Sanchez'],['rmarks@hotmail.com'],"['129.36.164.152', '70.35.115.109', '211.194.173.225']","['265741', '681550', '578155', '268477', '429463', '765868', '887576', '725483', '177590', '925804', '916422', '221684', '817528', '263441', '496331', '187946', '386964', '432310', '269176', '746385', '394092', '447549', '280401', '627945', '357906', '679922', '991658', '112454', '276973', '888798', '809674', '560921', '784238', '305727', '458311', '571301', '241993', '151098', '584756', '982930', '586800', '764301', '600949', '945320', '663502', '128694', '306742', '569514', '514114', '619620', '752690', '623889', '520023', '303244', '239024', '535383', '629190', '175307', '931920', '447692', '668634', '731070', '246174', '902683', '879559', '980195', '690663', '210495', '695098', '877906', '508700', '952560', '305682', '204722']",['60111'],"['95659', '72055', '49349', '69936', '73959']",74,5,1805,1,221,1,269,a,r,9,2024-10-28 07:18:37,0.04
17,485804,9777,FR,EUR,['Jason Humphrey'],"['ryan22@yahoo.com', 'rsanchez@martin.info']","['136.191.7.47', '43.231.28.207', '166.60.92.58']","['870852', '715997', '705182', '401641', '899192', '645163', '811703', '495947', '682075', '656081', '829530', '375706', '383514', '954985', '812786', '664905', '155755', '101585', '223445', '575272', '488050', '430994', '716421', '588998', '995796', '200036', '871285', '321900', '302870', '182353', '647069', '533532', '929750', '835505', '278959', '891381', '589174', '592421', '251468', '868336', '612118', '972210', '342558', '138379', '604837', '814490', '318357', '220093', '880183', '629725']",['12691'],"['95171', '41784', '91021', '72357']",50,24,4296,2,730,1,374,a,,1,2024-08-29 04:04:50,0.28
18,448091,5124,DE,USD,"['Emily Johns', 'Renee Elliott']","['jesseboyer@yahoo.com', 'kruegersean@davis.net']","['170.92.149.120', '66.64.99.89', '152.164.236.130']","['625328', '126067', '412320', '710670', '104148', '169216', '895041', '615907', '219269', '923500', '255358', '956961', '862160', '707611', '355936', '322897', '504810', '866573', '527186', '505097', '656912', '311734', '345423', '157235', '425202', '219801', '382127', '160164', '734297', '966503', '492162', '417195', '803399', '438081', '624780', '200754', '540198', '964867', '374776', '562915', '998262', '931178', '171998', '160084', '960276', '805153', '433472', '877948', '838698', '335999', '403706', '219490', '323652', '319632', '921347', '589971', '740882', '867453', '145035', '989461', '641008', '174294', '685526', '335125', '721854']",['50789'],"['85447', '44054', '12428', '74373', '72224']",65,21,3675,2,148,0,0,a,d,4,2023-09-09 22:32:58,0.19
19,412633,6619,GB,USD,['Theresa Vasquez'],"['edwardshah@gmail.com', 'robinlawrence@yahoo.com']",['222.228.78.44'],"['750682', '207391', '837423', '915570', '282007', '322181', '324562', '325908', '164558', '781163', '782520', '987373', '557075', '578164', '598297', '283473', '467466', '546141', '750578', '561831', '756398', '186985', '171380', '981127', '360056', '147274', '852540', '131831', '605669', '651687', '526147', '348832', '880256', '813069', '169227', '633563', '529935', '866182', '501906', '373811', '902029', '900112', '848525', '207861', '246968', '645960', '768827', '780059', '651909', '340405', '210891', '517421', '225103', '612525', '627059']",['70634'],"['67761', '28779', '27324', '44755', '59751']",55,52,9204,18,5382,22,2376,d,a,10,2024-01-09 03:32:03,0.71
20,460135,9382,DE,INR,"['Patrick Harrell', 'Kellie Anderson']",['silvajade@yahoo.com'],['83.153.39.66'],"['779762', '700710', '264913', '392136', '585007', '338016', '641012', '962842', '739687', '554670', '266226', '499091', '331500', '936875', '848391', '548120', '199066', '482917', '798580', '139974', '383009', '673934', '499265', '511758', '658538', '339047', '695572', '877002', '891857', '586802', '813940']",['27620'],"['51849', '42058']",31,28,8064,1,293,0,0,a,r,8,2023-12-02 16:03:17,0.11
21,496488,3502,FR,EUR,['Amy Davis'],"['angela82@hotmail.com', 'michelle51@thompson-hanna.org']",['221.122.15.239'],"['778151', '680960', '154377', '504345', '987143', '660917', '838338', '684337', '992224', '848715', '144244']",['43094'],['18125'],11,11,4323,7,2072,3,741,d,r,5,2025-02-10 21:35:06,0.85
22,413369,8787,GB,USD,['Michael West'],"['mercedesoneill@gmail.com', 'gregory84@hotmail.com']",['114.4.86.96'],"['944814', '740654', '601559', '911699', '682332', '713731', '180751', '515518', '503767', '268205', '370146', '194952', '486115', '475681', '794914', '272495', '798366', '757904', '355026', '374137', '946511', '572127', '585227', '786673', '172741', '278758', '510303', '425737', '703636', '664862', '251412', '576344', '955259', '597213', '747200', '871979', '426725', '359519', '886622', '349089', '577337', '230363', '268338', '212277', '416041', '472355', '245738', '184646', '890028', '678646']",['20921'],"['36117', '67715', '41499', '43891']",50,33,5214,2,478,0,0,a,d,10,2024-11-03 22:10:59,0.28
23,459316,7283,DE,GBP,['Joshua Martin'],"['aaron03@turner.net', 'anthonyjohnson@jenkins.com']",['143.208.46.251'],"['262518', '605533', '326569', '938781', '522924', '581451', '478175', '205982', '341196', '837147', '533067', '450758', '175609', '696168', '632534', '200398', '672967', '318953', '866952', '925811', '814592']",['41301'],"['15087', '43429', '40007', '43404']",21,14,3990,2,608,0,0,a,r,10,2024-12-09 08:20:04,0.0
24,477723,6265,FR,USD,['Joseph Christensen'],['lisasmith@hotmail.com'],['203.161.199.217'],"['913360', '845770', '586053', '476007', '723481', '376700', '498973', '741416', '654201', '877208', '413141', '441058', '481743', '583158', '532187', '340107', '271605', '389583', '331574', '469274', '109326', '480410', '809153', '736015', '494115', '726997', '221491', '183748', '388676', '614628', '781096', '996899', '567300', '950665', '788708', '256930', '215361', '165381', '226073', '433600', '154530', '476889', '771849', '170305', '550091', '659107', '980740', '628144', '851288', '814822', '375003', '989077', '775755', '319738', '206605', '676133', '848650', '958964', '949760', '832069', '176890', '779812', '265195', '804943', '890183', '384448', '820890', '287589', '519097', '870221', '292636', '136029', '205745', '955331', '345212', '233920', '419278', '807247', '186542', '399854', '633944', '210000', '723017', '963014', '875285', '622677', '762091', '679646', '513268', '446938', '779563', '795900', '776051', '153279', '732916', '529771', '842954']",['83115'],"['51871', '46892', '36699', '82541']",97,80,26960,13,4329,36,12852,r,,5,2024-01-24 11:17:45,0.73
25,499935,2674,FR,GBP,"['Julie Miller', 'Richard Williams']",['diana84@kim.com'],['40.79.103.135'],['952485'],['90766'],"['29621', '89315', '36039']",1,1,139,0,0,0,0,a,d,10,2023-08-18 00:09:56,0.19
26,451294,1297,DE,INR,"['Brian Bell', 'Kristi Carey']","['sshort@hotmail.com', 'edwardsbrandon@werner.biz']","['142.150.188.183', '132.225.251.37', '17.142.162.48']","['294456', '110013', '529578', '849807', '166893', '884586', '860030', '912818', '311915', '926804', '214319', '972718', '110987', '324574', '266577', '718599', '967205', '136949', '616103', '867672', '514759', '329973', '724932', '645794', '833650', '927097', '319725', '894557', '820030', '265425', '343437', '967808', '270912', '173764', '341040', '750346', '873163', '663793', '587073', '411156', '225172', '367582', '209494', '193834', '674360', '585998', '320361', '376239', '348615', '821581', '453810', '704146', '246255', '224189', '641068', '491204', '690275', '328992', '503766', '306070', '450151', '511345', '660982', '776394', '715070', '187751', '682326', '758898', '579111', '436920', '755992', '298672', '885225', '613290', '120180', '782395', '950372', '552964', '331560', '809557', '373919', '714320', '336597', '632000', '605936', '224885', '998854', '307893', '207393', '357673', '366914', '765897', '579055', '532007', '119292', '539813']",['18579'],"['55399', '20028', '82138', '72820']",96,96,14496,1,72,1,167,a,r,8,2023-12-01 20:39:36,0.03
27,479058,2171,DE,GBP,"['Kimberly Hernandez', 'Pamela Anderson']","['pamela46@wagner.net', 'hopkinslacey@hotmail.com']",['142.144.193.137'],"['798731', '926799', '319702', '456443', '587771', '391481', '411433', '332365', '630421', '139888', '450474', '146960', '129450', '450595', '438655', '105474', '971720', '429906', '129266', '348264', '624278', '223434', '857768', '177616', '580428', '177367', '159560', '354620', '400289', '448537', '897340', '440358', '424950', '406923', '196703', '660171', '699590', '388830', '946532', '976139', '830223', '519638', '633437', '242414', '219892', '894826', '655019', '196026', '798202', '458888', '413624', '492336', '658800', '796175', '289701', '561003', '413532', '464956', '705192', '565794', '387484']",['78112'],"['81358', '85127', '55504', '55900', '69945']",61,48,11568,0,0,1,388,a,d,4,2025-02-14 14:09:36,0.14
28,407349,6852,IN,USD,['Albert Guerra'],"['alexisrussell@gmail.com', 'wjones@coleman-patel.com']","['216.5.176.221', '216.105.101.193', '186.13.151.168']","['649917', '580478', '425459', '481838', '766242', '460516', '289341', '672573', '840546', '236567', '296556', '546292', '213022', '446924', '569121', '304125', '689253', '563374', '699753', '151713', '580067', '470379', '170191', '275432', '850024', '369029', '209394', '908885', '864578', '508318', '491746', '595719', '398448', '166031', '812054', '840769', '307643', '475874', '178257', '796573', '285573', '477608', '559651', '830212', '991429', '700649', '590484', '426739', '696837', '906596', '765078', '971280', '667812', '235599', '763664', '714603', '922873', '420996', '187384', '642958', '705357', '622508', '767241', '377985', '315506', '840027', '256945', '556654', '440995']",['58916'],"['67212', '61984', '75178', '13686']",69,22,7810,8,696,6,2400,d,d,6,2024-02-19 20:24:11,0.95
29,465968,2541,DE,GBP,"['Jared Lee', 'Tammy Good']",['hyoung@miller.net'],"['93.189.141.193', '134.210.224.179', '202.177.11.231']","['362415', '967132', '993203', '229652', '798011', '944378', '512541', '962963', '468316', '598051', '392613', '756008', '429349', '924432', '544315', '293776', '979023', '675455', '208134', '380095', '403155', '475499', '521302', '963307', '975172', '402193', '874483', '939377', '554353', '356206', '462171', '713376', '983841', '479710', '362126', '658563', '322963', '408791', '241515', '992459', '701694', '589983', '761432', '245581', '439110', '947438', '315811', '402779', '387244', '115946', '962454', '133792', '849765', '862240', '681667', '635586', '604189', '145494', '162634', '542311', '281548', '889704', '750472', '338020', '363931', '249163', '871482', '242222', '411061', '503918', '105529', '605873', '487779']",['94638'],"['82489', '27234']",73,70,5040,2,126,0,0,a,,6,2025-05-06 17:28:00,0.17
30,496749,2214,IN,INR,"['Edward Dodson', 'Elizabeth Guzman']",['keithharris@gonzales.org'],"['169.235.29.27', '116.43.74.79']","['946712', '544784', '961004', '530644', '728326', '480223', '751402', '962621', '417961', '656883', '572548', '682245', '116066', '334692', '576064', '876982', '997506', '177501', '597046', '943141', '252549', '496662', '332473', '141683', '315896', '726053', '381595', '519385', '144468', '455560', '184697', '493026', '149108', '536075', '463343', '747236', '123047', '525345', '316281', '588386']",['13257'],"['51609', '27180', '54047', '80144', '86883']",40,4,1344,2,928,1,154,a,d,8,2024-03-03 02:37:48,0.04
31,408285,1921,GB,EUR,['Todd Frank'],['meganvillanueva@gmail.com'],"['137.102.36.124', '163.68.198.184']","['184323', '823058', '464822', '206354', '884795', '757853', '733592', '263839', '995131', '440964', '648674', '166761', '271167', '127228', '838117', '335990', '904030', '230402', '563450', '986248', '568142', '206312', '597148', '150525', '931333', '118844', '297646', '675330', '447514', '740925', '211539']",['36171'],"['34708', '22228', '10133']",31,4,860,0,0,1,215,a,r,6,2023-11-08 09:02:11,0.38
32,484824,3860,US,USD,['Samantha Allison'],['obishop@yahoo.com'],"['6.86.11.23', '108.127.228.189']","['160158', '570938', '959852', '665829', '169155', '777755', '639037', '757782', '151333', '169059', '914684', '551054', '324417', '766043', '889847', '366427', '914321', '342144', '811615', '756355', '881582', '789408', '748849', '224251', '595615', '771021', '801741', '437339', '693226', '160280', '927145', '791059', '255750', '779785', '452100', '729317', '643885', '160115', '547600', '136655', '377913', '212200', '132315', '400975', '627130', '778271', '990476', '472322', '895882', '681755', '668424', '816058', '985548', '811739', '186558', '535736', '435337', '432977', '799873', '142497', '548214', '525818', '987689', '557548', '246628', '773802', '647341', '273890', '713334', '704494', '282674', '828994', '170529', '302378', '576763', '444692', '404355', '409829', '624165', '793306', '538695', '209829', '107943', '369496', '650425', '756902', '669505', '388724', '325322', '217435', '625251', '815367', '115882', '281591', '153518', '941861', '345895', '240851', '331168']",['97637'],['87765'],99,81,38799,2,202,0,0,a,,8,2025-02-03 02:34:57,0.28
33,473910,5630,DE,GBP,['Catherine Brown'],['scott55@gmail.com'],"['188.139.200.197', '219.250.212.150']","['836916', '233159', '938322', '306061', '523335', '521435', '388722', '498634', '923082', '876956', '786265', '999725', '602042', '897586', '168541', '742238', '108002', '611894', '936726', '965904', '698873', '987940', '213845', '333440', '185062', '872135', '242234', '496847', '617663', '572420', '995512', '896136', '170885', '551522', '936114', '412863', '779351', '438422', '642560', '847451', '749345', '648228', '753619', '321166', '212632', '805379', '844427', '156468', '254073', '177916', '155229']",['18081'],"['46081', '76542']",51,50,17150,2,628,0,0,a,,5,2023-10-26 18:01:52,0.15
34,464761,6481,US,USD,['Jose Rogers'],['gglass@yahoo.com'],['192.122.184.66'],"['697215', '283286', '475058', '693183', '955711', '147442', '813811', '999967', '147751', '528216', '280548', '934444', '322883', '286143', '779170', '859628', '238902', '238247', '819932', '853566', '582919', '864472', '912660', '660529', '226508', '288098', '219015', '824701', '797021', '852154', '849776', '532045', '501787', '676920', '685229', '694367', '960473', '111969', '229668', '734801', '256946', '704096', '894960', '605784', '450016', '385929', '504566', '593963', '865107', '925491', '261583', '415260', '139649', '576678', '378809', '591875', '848613', '603777', '931188', '295108', '852930', '660280', '966466', '187737', '495262', '648909', '490448']",['41668'],['61597'],67,63,23121,1,245,1,311,a,,2,2024-04-13 22:15:15,0.09
35,400413,3344,DE,GBP,"['Colin Price', 'Elizabeth Nixon']",['wadedawn@yahoo.com'],['161.116.12.116'],"['586035', '243118', '575275', '442425', '873891', '889947', '273704', '823286', '563014', '273037', '451426']",['68352'],"['10714', '38211', '65334', '49385']",11,7,3178,1,157,4,916,d,d,1,2024-09-27 13:53:52,0.85
36,400656,8619,US,GBP,"['Eric King', 'Joseph Khan']",['john26@dominguez.net'],"['38.228.237.83', '33.221.144.251']","['414049', '987821', '737841', '356163', '469777', '416261', '341933', '898451', '772427', '155252', '198523', '602027', '359178', '182220', '738818', '874108', '785913', '983458', '731581', '606485', '148339', '658255', '190531', '197851', '840171', '882647', '257888', '895021', '965353', '628470', '947586', '149750', '647334', '524721', '358726', '260437', '267356', '850018', '994018', '398448', '397857', '924590', '845484', '725427', '358257', '110027', '940508', '637165', '218660', '718687', '666107', '447615', '395923', '766846', '445326', '576648', '437687', '775678', '580392', '189988', '872654', '447499']",['79125'],"['45050', '28751', '26746', '14883']",62,54,3942,0,0,1,453,a,,7,2023-07-31 20:35:00,0.35
37,404063,5366,US,EUR,"['Denise Turner', 'Donald Stewart']","['amy81@hotmail.com', 'anthony55@yahoo.com']","['143.110.155.190', '160.129.32.1']","['627641', '120815', '131962', '750236', '263457', '765662', '784973', '890482', '835460', '746094', '418287', '789019', '277386', '740406', '481316', '899767', '998151', '196898', '576196', '144624', '659381', '891045', '586712', '582374', '704427', '829937', '554106', '858159', '750606', '656346', '469426', '224100', '898672', '298468', '977645', '277067', '307650', '159152', '199729', '294553', '973115', '880896', '830830', '267928', '739569', '309986', '271585', '380311', '196502', '770764', '523792', '416852', '343297', '106776', '629211', '424564', '820145', '691566', '893291', '205473', '963903', '541962', '102629', '259049', '307795', '523849', '490986', '895255', '568770', '125256', '485536', '320891', '908560', '320917', '926583', '212455', '949600', '697894', '802684', '231389', '745425', '819031', '762674', '526233', '113294', '331173', '910947', '665738', '808035', '975525', '196310', '329419', '504142', '968128', '925745', '983213', '677163', '323343', '583240']",['66189'],"['78366', '82410', '66664', '53735', '59118']",99,46,8004,1,126,0,0,a,r,4,2023-12-14 10:32:56,0.18
38,496342,9962,IN,GBP,"['Amanda Rhodes', 'Anna Cook']","['nancytaylor@peterson-diaz.biz', 'tmiller@yahoo.com']","['136.158.103.145', '94.253.161.201', '48.163.186.75']","['870578', '591443', '656263', '589292', '840876', '721868', '790116', '466770', '926721', '982583', '702013', '296856', '451041', '658766', '149544', '391991', '977047']",['76331'],"['81718', '27287', '34677']",17,16,1120,1,212,1,84,a,r,2,2025-03-28 08:23:36,0.12
39,433519,2018,GB,USD,['Sharon Collins'],['carlos79@lee-rubio.com'],['11.202.105.117'],"['199751', '485331', '245892', '449911', '125405', '579566', '941371', '836207', '702166', '741721', '274462', '139601', '456135', '264805', '918603', '491000', '893828', '290776', '575214', '715626', '583110', '778864', '409322', '187019', '712302', '442702', '781485', '988814', '349385', '706215', '885275', '809203', '449475', '707630', '626070', '147226', '802297', '191807', '490732', '108963', '827718', '225252', '880090', '323298', '350122', '378725', '387010', '342862', '381036', '234365', '382756', '884577', '111055', '455726', '481747', '215922', '362520', '803253', '665532', '498652', '585370', '839090', '309223', '497555', '118418', '978577', '163184', '498687', '865630', '259069', '824010', '507390', '624386', '778726', '919377', '876412', '300831', '752099', '264410', '901012', '285357', '823071', '301298', '572427', '354476', '754106', '697015', '821135', '571208', '345865', '980670', '732866', '667481', '234337', '649638', '317589', '893446']",['12302'],['80492'],97,21,6930,0,0,0,0,a,r,0,2024-09-04 00:07:29,0.17
40,430012,6924,FR,INR,"['Robert Madden', 'Angela Flowers']",['harry05@madden.biz'],"['125.211.228.174', '219.122.10.210', '142.88.153.159']","['764464', '872410', '752342', '329560', '811726', '932488', '637451', '816484', '649416', '945079', '829395', '379743', '322693', '921123', '254960', '581162', '442039', '700244', '776876', '816105', '624391', '103239', '173846', '671237', '248986', '484979', '313576', '857068', '267715', '535509', '492279', '630125', '997795', '423839', '622512', '154369', '124820', '257076', '355223', '420538', '557075', '575012', '388248', '360460', '966619', '496729', '831566', '537922', '188916', '380170', '383421', '923097', '477833', '324894', '904255', '243425', '796356', '855913', '306131', '180388', '651537', '329077', '441098', '298368', '761496', '364069', '431864', '384705', '835628', '357962', '145460', '851609', '293016', '372730', '259190', '853903', '394346', '754152', '914610', '130554', '749634', '385081', '142112', '162063', '765199', '407228', '197596', '379284', '942523', '475036', '819334', '668396', '320387', '904608', '637002', '694914', '775525', '602422', '421498', '454158']",['17341'],"['49645', '92862', '42271', '24757', '90062']",100,24,4176,1,81,1,274,a,r,10,2024-02-17 14:13:56,0.34
41,454618,6455,FR,GBP,['Debra Maldonado'],"['bradleyconnor@yahoo.com', 'ygiles@carlson-walker.info']","['112.52.12.9', '27.231.110.144', '24.204.43.226']","['300744', '951008', '336910', '366638', '258609', '339173', '261997', '252351', '274902', '218691', '472735', '610644', '720740', '710327', '202450', '789344', '332201', '925458', '255269', '845807', '960698', '230102', '840299', '824574', '185309', '525462', '331393', '175307']",['41910'],"['68644', '16366', '56958', '12807', '50864']",28,20,8920,1,413,0,0,a,,9,2025-03-08 00:23:20,0.28
